date,tmin,tmax
2020-11-01,12.8,18.2
2020-11-02,11.7,21.2
2020-11-03,7.3,13.8
2020-11-04,2.6,11.7
2020-11-05,0.9,10.3
2020-11-06,1.5,13.5
2020-11-07,6.5,15.6
2020-11-08,7.7,15.4
2020-11-09,9.6,17.1
2020-11-10,8.6,15.8
2020-11-11,8.7,13.0
2020-11-12,6.9,14.8
2020-11-13,5.1,14.5
2020-11-14,12.6,16.8
2020-11-15,9.0,17.8
2020-11-16,8.8,12.9
2020-11-17,9.0,14.0
2020-11-18,10.8,15.9
2020-11-19,4.5,14.4
2020-11-20,2.7,9.5
2020-11-21,2.1,9.8
2020-11-22,7.9,10.4
2020-11-23,4.7,10.9
2020-11-24,4.2,8.8
2020-11-25,5.0,9.8
2020-11-26,3.5,8.2
2020-11-27,2.1,5.0
2020-11-28,1.5,9.9
2020-11-29,-2.9,3.1
2020-11-30,-3.6,3.9
2020-12-01,3.3,7.0
2020-12-02,3.0,5.1
2020-12-03,3.0,5.6
2020-12-04,3.3,8.2
2020-12-05,2.6,7.8
2020-12-06,2.0,5.2
2020-12-07,2.0,5.7
2020-12-08,1.4,5.8
2020-12-09,-0.8,4.9
2020-12-10,-1.3,3.1
2020-12-11,1.4,5.4
2020-12-12,4.6,7.5
2020-12-13,5.6,9.9
2020-12-14,6.3,11.0
2020-12-15,6.3,9.2
2020-12-16,5.4,11.5
2020-12-17,6.4,12.4
2020-12-18,5.4,11.0
2020-12-19,6.1,13.0
2020-12-20,6.8,11.2
2020-12-21,4.9,11.5
2020-12-22,11.1,15.4
2020-12-23,9.4,12.3
2020-12-24,4.4,9.6
2020-12-25,1.7,5.1
2020-12-26,2.6,6.3
2020-12-27,4.2,6.1
2020-12-28,1.9,5.9
2020-12-29,1.3,6.1
2020-12-30,3.1,6.1
2020-12-31,1.7,4.3
2021-01-01,1.5,5.3
2021-01-02,1.5,4.2
2021-01-03,2.0,4.1
2021-01-04,2.0,3.1
2021-01-05,2.3,3.4
2021-01-06,1.3,3.9
2021-01-07,0.8,2.4
2021-01-08,-0.5,2.5
2021-01-09,0.0,2.0
2021-01-10,0.1,3.6
2021-01-11,-0.7,5.2
2021-01-12,1.1,7.4
2021-01-13,0.9,5.1
2021-01-14,-0.2,3.8
2021-01-15,-1.0,3.1
2021-01-16,-1.1,2.1
2021-01-17,-1.0,4.1
2021-01-18,3.5,6.8
2021-01-19,4.7,8.6
2021-01-20,5.0,11.6
2021-01-21,5.2,12.2
2021-01-22,1.0,11.2
2021-01-23,0.9,7.8
2021-01-24,0.1,4.0
2021-01-25,0.1,2.9
2021-01-26,1.6,5.2
2021-01-27,1.0,5.1
2021-01-28,4.0,6.8
2021-01-29,6.7,11.4
2021-01-30,1.3,7.6
2021-01-31,-1.6,3.4
2021-02-01,2.0,5.4
2021-02-02,3.4,10.9
2021-02-03,7.6,13.1
2021-02-04,5.4,10.8
2021-02-05,7.1,11.2
2021-02-06,2.3,7.6
2021-02-07,-1.2,2.4
2021-02-08,-5.8,-1.1
2021-02-09,-8.9,-3.6
2021-02-10,-10.1,-1.7
2021-02-11,-7.7,0.9
2021-02-12,-8.0,-0.6
2021-02-13,-7.2,1.7
2021-02-14,-5.2,4.8
2021-02-15,0.8,4.5
2021-02-16,4.3,11.9
2021-02-17,7.0,12.2
2021-02-18,5.3,10.9
2021-02-19,2.7,11.7
2021-02-20,6.8,16.4
2021-02-21,8.1,18.2
2021-02-22,6.4,15.4
2021-02-23,10.0,19.6
2021-02-24,9.6,20.3
2021-02-25,8.9,20.6
2021-02-26,4.9,11.7
2021-02-27,3.1,10.8
2021-02-28,1.0,14.0
2021-03-01,0.0,14.9
2021-03-02,0.9,17.0
2021-03-03,5.7,17.4
2021-03-04,3.4,8.2
2021-03-05,-1.1,6.6
2021-03-06,-3.5,8.6
2021-03-07,-3.4,7.7
2021-03-08,1.3,6.7
2021-03-09,2.7,6.1
2021-03-10,3.3,11.5
2021-03-11,6.3,15.1
2021-03-12,5.8,11.7
2021-03-13,3.9,10.1
2021-03-14,3.9,9.3
2021-03-15,4.4,10.1
2021-03-16,4.4,9.0
2021-03-17,1.2,7.0
2021-03-18,-0.5,7.4
2021-03-19,1.4,8.8
2021-03-20,0.1,8.2
2021-03-21,4.8,8.3
2021-03-22,3.9,7.9
2021-03-23,5.3,12.8
2021-03-24,2.9,17.7
2021-03-25,3.7,15.1
2021-03-26,5.6,16.5
2021-03-27,4.4,11.4
2021-03-28,6.0,16.0
2021-03-29,6.6,22.2
2021-03-30,4.3,24.5
2021-03-31,7.3,26.6
2021-04-01,7.1,21.4
2021-04-02,4.7,8.8
2021-04-03,4.7,12.7
2021-04-04,2.7,8.1
2021-04-05,0.3,7.0
2021-04-06,0.2,6.3
2021-04-07,0.0,5.5
2021-04-08,1.8,9.4
2021-04-09,3.4,15.4
2021-04-10,7.2,10.9
2021-04-11,3.2,10.2
2021-04-12,-0.1,7.7
2021-04-13,-1.4,10.2
2021-04-14,-1.0,9.5
2021-04-15,-0.9,10.6
2021-04-16,2.1,12.5
2021-04-17,3.1,12.6
2021-04-18,5.5,13.9
2021-04-19,6.0,13.8
2021-04-20,3.2,17.8
2021-04-21,6.2,18.1
2021-04-22,2.2,13.1
2021-04-23,1.7,14.9
2021-04-24,3.2,15.4
2021-04-25,3.7,13.2
2021-04-26,1.1,16.0
2021-04-27,4.2,17.4
2021-04-28,3.6,20.9
2021-04-29,5.3,14.6
2021-04-30,5.2,13.4
2021-05-01,5.4,14.4
2021-05-02,4.2,11.9
2021-05-03,1.3,14.6
2021-05-04,6.8,15.6
2021-05-05,4.4,12.3
2021-05-06,3.9,13.1
2021-05-07,3.5,13.0
2021-05-08,3.2,18.0
2021-05-09,10.7,28.3
2021-05-10,15.0,22.2
2021-05-11,11.8,16.3
2021-05-12,9.7,18.6
2021-05-13,7.5,20.4
2021-05-14,9.0,18.5
2021-05-15,9.3,14.8
2021-05-16,8.5,17.0
2021-05-17,8.7,15.3
2021-05-18,8.3,16.4
2021-05-19,7.7,17.0
2021-05-20,9.0,17.8
2021-05-21,9.9,18.7
2021-05-22,9.2,13.5
2021-05-23,9.3,17.2
2021-05-24,10.2,17.0
2021-05-25,7.7,14.2
2021-05-26,9.0,15.1
2021-05-27,9.1,13.4
2021-05-28,7.8,19.4
2021-05-29,6.9,20.0
2021-05-30,7.2,23.6
2021-05-31,10.1,25.4
2021-06-01,10.8,26.2
2021-06-02,12.1,28.4
2021-06-03,17.6,25.5
2021-06-04,17.4,28.0
2021-06-05,15.5,22.0
2021-06-06,13.9,18.4
2021-06-07,15.5,20.6
2021-06-08,15.1,24.6
2021-06-09,13.8,26.8
2021-06-10,14.9,27.5
2021-06-11,14.9,27.5
2021-06-12,13.9,23.7
2021-06-13,11.0,24.2
2021-06-14,12.6,29.1
2021-06-15,15.8,27.3
2021-06-16,16.8,32.0
2021-06-17,21.2,34.6
2021-06-18,21.6,33.6
2021-06-19,19.0,31.4
2021-06-20,19.1,27.1
2021-06-21,15.6,21.1
2021-06-22,13.4,18.1
2021-06-23,14.2,21.2
2021-06-24,14.1,21.5
2021-06-25,13.7,24.1
2021-06-26,14.0,26.3
2021-06-27,15.6,28.0
2021-06-28,17.5,28.0
2021-06-29,15.2,26.1
2021-06-30,14.0,20.2
2021-07-01,13.4,15.4
2021-07-02,12.7,22.9
2021-07-03,13.0,27.7
2021-07-04,14.6,23.6
2021-07-05,14.6,21.0
2021-07-06,14.6,23.5
2021-07-07,14.1,25.5
2021-07-08,14.3,23.4
2021-07-09,16.0,23.3
2021-07-10,14.8,24.1
2021-07-11,15.8,23.5
2021-07-12,15.2,25.8
2021-07-13,17.3,22.7
2021-07-14,15.3,17.9
2021-07-15,14.3,23.6
2021-07-16,16.4,19.8
2021-07-17,17.6,26.7
2021-07-18,15.0,27.2
2021-07-19,14.7,22.3
2021-07-20,12.2,24.0
2021-07-21,11.8,25.7
2021-07-22,13.7,26.4
2021-07-23,13.9,27.4
2021-07-24,15.8,22.0
2021-07-25,16.1,26.9
2021-07-26,17.5,26.1
2021-07-27,16.6,25.3
2021-07-28,16.7,23.7
2021-07-29,14.9,22.5
2021-07-30,14.1,25.9
2021-07-31,16.5,22.2
2021-08-01,15.1,22.3
2021-08-02,12.4,20.3
2021-08-03,12.0,19.3
2021-08-04,12.0,23.0
2021-08-05,15.3,24.1
2021-08-06,16.4,22.9
2021-08-07,15.7,23.7
2021-08-08,14.3,21.1
2021-08-09,14.7,22.3
2021-08-10,14.0,24.1
2021-08-11,15.1,25.3
2021-08-12,15.4,27.2
2021-08-13,16.0,26.9
2021-08-14,14.6,26.9
2021-08-15,14.9,28.5
2021-08-16,12.1,20.3
2021-08-17,12.2,17.3
2021-08-18,14.5,18.9
2021-08-19,15.6,20.4
2021-08-20,15.0,22.8
2021-08-21,13.3,26.2
2021-08-22,16.6,22.4
2021-08-23,13.8,21.8
2021-08-24,12.9,23.0
2021-08-25,10.4,23.9
2021-08-26,12.0,19.8
2021-08-27,11.2,18.6
2021-08-28,14.1,20.0
2021-08-29,14.2,17.1
2021-08-30,13.7,20.6
2021-08-31,12.7,21.7
2021-09-01,11.2,17.1
2021-09-02,10.5,24.1
2021-09-03,11.5,26.4
2021-09-04,12.7,25.2
2021-09-05,12.2,28.0
2021-09-06,12.8,26.7
2021-09-07,13.4,26.8
2021-09-08,13.3,27.6
2021-09-09,15.5,28.2
2021-09-10,18.5,24.2
2021-09-11,17.7,22.9
2021-09-12,13.6,22.6
2021-09-13,11.5,22.6
2021-09-14,12.2,25.4
2021-09-15,16.4,22.1
2021-09-16,12.9,20.7
2021-09-17,13.1,20.9
2021-09-18,11.8,23.3
2021-09-19,12.5,19.8
2021-09-20,10.6,17.3
2021-09-21,10.0,18.6
2021-09-22,8.2,20.3
2021-09-23,8.9,22.0
2021-09-24,14.8,21.0
2021-09-25,12.6,24.0
2021-09-26,15.8,24.1
2021-09-27,12.0,21.8
2021-09-28,9.6,18.0
2021-09-29,9.5,15.4
2021-09-30,8.6,15.9
2021-10-01,9.8,19.0
2021-10-02,12.7,19.7
2021-10-03,12.3,21.7
2021-10-04,11.0,18.3
2021-10-05,10.7,18.2
2021-10-06,11.4,12.9
2021-10-07,7.9,17.6
2021-10-08,5.7,19.5
2021-10-09,5.8,19.1
2021-10-10,5.1,17.2
2021-10-11,7.0,15.6
2021-10-12,5.4,13.3
2021-10-13,3.4,13.4
2021-10-14,9.8,15.5
2021-10-15,5.0,13.9
2021-10-16,3.0,13.8
2021-10-17,2.6,14.6
2021-10-18,5.9,14.6
2021-10-19,10.9,17.5
2021-10-20,12.7,17.9
2021-10-21,6.5,17.4
2021-10-22,5.1,11.8
2021-10-23,5.5,11.9
2021-10-24,3.8,14.4
2021-10-25,5.1,16.4
2021-10-26,9.7,16.2
2021-10-27,8.9,17.3
2021-10-28,8.2,15.8
2021-10-29,8.4,17.5
2021-10-30,10.8,14.5
2021-10-31,9.0,17.9
